country,broker_name,broker_type,fee_model,flat_fee_local_currency,pct_fee,min_fee_local_currency,max_fee_local_currency,fee_tax_rate_pct,other_charges_pct,effective_from,effective_to,source_url,confidence,selection_criterion,selection_basis_date
Canada,RBC Dominion Securities,full_service,pct_of_trade_value,0.0,0.4,45.0,0.0,0.0,0.0,2011-01-01,2025-12-31,https://www.rbcds.com,primary_statutory_single_source,CIRO / OSFI Regulated (CIRO Dealer Member); Royal Bank of Canada wealth management division; 0.40 pct with 45 CAD representative-assisted minimum ticket fee,2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.3,2011-01-01,2019-05-29,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct Hero Moon online fee; 0.30 pct total tax (0.15 pct STT + 0.15 pct Rural Tax),2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.25,2019-05-30,2020-12-31,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct fee; 0.25 pct total tax (Decree 29792: 0.10 pct STT + 0.15 pct Rural),2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.23,2021-01-01,2022-12-31,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct fee; 0.23 pct total tax (Decree 31445: 0.08 pct STT + 0.15 pct Rural),2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.2,2023-01-01,2023-12-31,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct fee; 0.20 pct total tax (Decree 33264: 0.05 pct STT + 0.15 pct Rural),2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.18,2024-01-01,2024-12-31,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct fee; 0.18 pct total tax (Decree 34271: 0.03 pct STT + 0.15 pct Rural),2024-01-01
South Korea,Kiwoom Securities,discount,pct_of_trade_value,0.0,0.015,0.0,0.0,0.0,0.15,2025-01-01,2025-12-31,https://www.kiwoom.com,primary_statutory_single_source,FSC/FSS Regulated; 0.015 pct fee; 0.15 pct total tax (0.00 pct STT + 0.15 pct Rural Tax),2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.3,2011-01-01,2019-05-29,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; premier Korean wealth manager; standard offline fee 0.4972 pct (online 0.1472 pct) + 0.30 pct tax,2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.25,2019-05-30,2020-12-31,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; standard offline fee 0.4972 pct + 0.25 pct total tax (Decree 29792),2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.23,2021-01-01,2022-12-31,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; standard offline fee 0.4972 pct + 0.23 pct total tax (Decree 31445),2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.2,2023-01-01,2023-12-31,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; standard offline fee 0.4972 pct + 0.20 pct total tax (Decree 33264),2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.18,2024-01-01,2024-12-31,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; standard offline fee 0.4972 pct + 0.18 pct total tax (Decree 34271),2024-01-01
South Korea,Samsung Securities,full_service,pct_of_trade_value,0.0,0.4972,0.0,0.0,0.0,0.15,2025-01-01,2025-12-31,https://www.samsungpop.com,primary_statutory_single_source,FSC/FSS Regulated; standard offline fee 0.4972 pct + 0.15 pct total tax (0.00 pct STT + 0.15 pct Rural),2024-01-01
Australia,CommSec,discount,flat_per_trade,10.0,0.0,0.0,0.0,10.0,0.0,2011-01-01,2021-11-29,https://www.commsec.com.au,primary_statutory_single_source,ASIC Regulated (AFSL 238814); Commonwealth Bank subsidiary and Australia's largest retail discount broker (>50 pct market share); 10 AUD standard entry tier fee + 10 pct GST,2024-01-01
Australia,Stake Australia,discount,flat_per_trade,3.0,0.0,0.0,0.0,10.0,0.0,2021-11-30,2025-12-31,https://hellostake.com/au,primary_statutory_single_source,ASIC Regulated (AFSL 434486); CHESS-sponsored low-cost neo-broker launched 30 Nov 2021 with flat 3 AUD fee + 10 pct GST,2024-01-01
Australia,Macquarie Private Wealth,full_service,pct_with_min_max,0.0,0.35,35.0,0.0,10.0,0.0,2011-01-01,2025-12-31,https://www.macquarie.com.au,primary_statutory_single_source,ASIC Regulated (AFSL 237532); premier Australian full-service wealth manager; 0.35 pct with 35 AUD minimum ticket + 10 pct GST,2024-01-01
Spain,DEGIRO Spain,discount,flat_per_trade,2.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,2021-01-15,https://www.degiro.es/tarifas,primary_statutory_single_source,BaFin/DNB Regulated; passported to CNMV (Registry n. 3360); leading low-cost retail discount broker in Spain; flat 2 EUR fee (1 EUR commission + 1 EUR handling); Pre-Tobin Tax era (0.0 pct),2024-01-01
Spain,DEGIRO Spain,discount,flat_per_trade,2.0,0.0,0.0,0.0,0.0,0.2,2021-01-16,2025-12-31,https://www.degiro.es/tarifas,primary_statutory_single_source,BaFin/DNB Regulated; passported to CNMV (Registry n. 3360); flat 2 EUR fee; 0.2 pct Spanish FTT / Tobin Tax on acquisitions under Ley 5/2020 Art 7,2024-01-01
Spain,Banco Santander,full_service,pct_with_min_max,0.0,0.35,15.0,0.0,0.0,0.0,2011-01-01,2021-01-15,https://www.bancosantander.es/particulares/ahorro-inversion/bolsa-inversion/,primary_statutory_single_source,Bank of Spain / CNMV (Registry n. 0049); largest Spanish commercial banking group; standard branch/phone wealth assisted schedule 0.35 pct with 15 EUR min (online 0.25 pct with 6 EUR min); Pre-Tobin era (0.0 pct),2024-01-01
Spain,Banco Santander,full_service,pct_with_min_max,0.0,0.35,15.0,0.0,0.0,0.2,2021-01-16,2025-12-31,https://www.bancosantander.es/particulares/ahorro-inversion/bolsa-inversion/,primary_statutory_single_source,Bank of Spain / CNMV (Registry n. 0049); standard branch/phone wealth assisted schedule 0.35 pct with 15 EUR min; 0.2 pct Spanish FTT / Tobin Tax on acquisitions under Ley 5/2020 Art 7,2024-01-01
Mexico,GBM Plus,discount,pct_of_trade_value,0.0,0.25,0.0,0.0,16.0,0.0,2011-01-01,2025-12-31,https://gbm.com/trading/,primary_statutory_single_source,CNBV Regulated (clave 002); undisputed market leader managing >90 pct of all retail investment accounts in Mexico (CNBV Statistical Bulletin); standard entry rate 0.25 pct + 16 pct IVA,2024-01-01
Mexico,Actinver,full_service,pct_with_min_max,0.0,0.5,100.0,0.0,16.0,0.0,2011-01-01,2025-12-31,https://actinver.com,primary_statutory_single_source,CNBV Regulated (clave 013); premier Mexican full-service private wealth management and investment advisory house; standard tier 0.50 pct (min 100 MXN ticket) + 16 pct IVA,2024-01-01
Indonesia,Indo Premier Sekuritas,discount,pct_of_trade_value,0.0,0.19,0.0,0.0,11.0,0.1,2011-01-01,2025-12-31,https://www.ipot.id,primary_statutory_single_source,Ranked top retail online discount broker by trading frequency and retail volume on IDX (BEI 20 Most Active Brokerage Houses; OJK Decree KEP-11/PM-MI/2002),2024-01-01
Indonesia,Mandiri Sekuritas,full_service,pct_of_trade_value,0.0,0.25,0.0,0.0,11.0,0.1,2011-01-01,2025-12-31,https://www.mandirisekuritas.co.id,primary_statutory_single_source,Ranked top domestic full-service institutional and wealth brokerage by total trading value on IDX (BEI 20 Most Active Brokerage Houses; OJK Decree KEP-12/PM/1992),2024-01-01
